RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
295,"Le Moyne
   (A) 331 New Haven",NEC,30,15-15,"101.4
308","112.6
250",".2311
295","53.4
84","49.2
79","19.4
325","15.1
281","25.4
336","29.9
149","40.1
59","32.2
107","54.0
86","46.0
15","35.1
110","36.1
299","40.8
151","38.8
157","69.4
81","-11.8
267"
296,"East Texas A&M
   (A) 121 UT Rio Grande Valley",Slnd,30,11-19,"99.8
333","111.1
219",".2266
296","49.2
280","52.8
249","19.6
333","16.9
170","25.7
330","32.5
278","31.6
268","34.6
165","51.1
206","50.7
130","31.4
307","37.4
344","46.1
42","37.9
131","68.7
110","-13.4
297"
297,"USC Upstate
   (H) 361 Gardner Webb",BSth,30,12-18,"100.1
329","111.5
224",".2248
297","48.1
314","51.2
171","18.1
264","16.2
211","29.2
229","31.8
240","33.7
222","36.8
228","48.4
299","49.8
97","31.7
295","35.8
285","35.3
265","36.2
81","67.9
150","-13.2
294"
298,"Southeastern Louisiana
   (A) 245 Nicholls St.",Slnd,29,8-21,"99.3
337","110.6
206",".2246
298","46.5
340","52.6
236","18.6
295","19.2
49","29.0
232","31.2
206","41.2
50","41.6
318","49.3
278","51.1
150","28.2
360","36.6
321","39.4
181","38.0
135","65.2
297","-15.8
334"
299,"Hampton
   (H) 285 Northeastern",CAA,29,12-17,"100.5
322","112.0
237",".2242
299","45.5
354","52.1
217","17.8
252","17.5
130","33.4
87","30.0
152","39.1
80","45.8
351","46.3
339","54.0
277","29.4
347","32.2
78","36.7
234","34.3
35","65.2
295","-13.0
287"
300,"Central Connecticut
   (H) 350 Saint Francis",NEC,28,17-11,"106.2
231","118.4
332",".2241
300","51.9
154","50.3
116","16.3
145","13.9
338","27.4
286","30.6
179","31.9
261","26.9
19","50.8
220","50.2
110","35.9
68","33.7
158","35.4
262","39.8
188","65.1
301","-8.5
205"
301,"Chattanooga
   (H) 360 VMI",SC,30,12-18,"104.3
259","116.3
306",".2235
301","53.5
81","51.1
160","14.9
53","13.7
343","21.4
360","32.0
253","31.0
284","43.7
338","55.3
57","51.7
181","34.5
146","33.5
147","49.7
18","43.2
295","67.2
197","-14.4
312"
302,"Jacksonville
   (A) 317 North Florida",ASun,30,11-19,"102.9
284","114.7
286",".2233
302","49.6
260","55.1
326","17.5
230","15.1
281","30.7
180","29.8
146","33.7
222","43.0
332","51.6
191","55.2
309","31.0
317","36.6
321","38.0
214","34.8
45","63.3
351","-14.1
308"
303,"NJIT
   (A) 358 Bryant",AE,29,15-14,"100.8
318","112.5
249",".2213
303","47.6
323","49.7
92","16.6
159","15.7
252","26.1
321","32.3
268","34.2
212","38.8
275","47.9
309","50.9
138","31.3
310","31.9
62","40.5
157","40.4
214","68.1
139","-9.6
226"
304,Georgia St.,SB,31,10-21,"99.9
331","111.5
222",".2212
304","43.9
363","50.7
142","15.8
114","16.5
191","27.7
277","33.2
305","37.0
138","34.1
148","42.3
364","51.5
170","30.7
329","33.0
124","42.8
119","39.4
179","67.8
164","-16.7
345"
305,"Loyola Chicago
   (H) 154 Richmond",A10,28,6-22,"103.1
279","115.1
291",".2205
305","49.0
286","53.0
256","19.6
333","13.2
353","31.2
157","30.7
188","34.4
205","33.4
134","51.4
196","49.6
86","30.8
323","38.2
356","47.6
28","43.7
310","66.4
241","-15.4
326"
306,"Alabama A&M
   (H) 310 Alabama St.",SWAC,28,16-12,"103.1
281","115.1
290",".2204
306","48.4
304","52.0
213","17.0
196","16.9
170","27.3
289","29.5
130","44.7
12","37.3
238","47.6
317","51.2
158","33.3
219","35.5
264","33.8
301","37.8
128","65.3
291","-8.9
214"
307,"Florida A&M
   (A) 286 Grambling St.",SWAC,27,12-15,"99.2
338","110.9
214",".2171
307","49.5
265","52.1
217","21.6
358","18.7
72","29.9
205","30.6
179","38.0
103","40.6
302","49.4
277","51.4
168","33.1
229","35.6
274","38.8
196","34.6
40","67.9
153","-11.1
254"
308,"Texas Southern
   (H) 333 Jackson St.",SWAC,27,11-16,"103.7
268","115.9
300",".2166
308","50.5
216","53.3
271","18.4
285","16.5
191","27.5
283","31.5
221","38.5
92","44.6
347","50.6
227","55.0
304","33.5
209","34.0
182","33.1
312","42.5
281","68.8
109","-10.9
251"
309,"West Georgia
   (H) 341 North Alabama",ASun,29,13-16,"103.3
274","115.5
296",".2161
309","49.5
265","54.3
299","15.6
98","14.8
308","31.0
164","30.1
156","29.8
312","36.5
218","49.0
284","56.3
327","33.7
191","33.8
166","32.7
321","36.9
96","68.9
103","-11.7
263"
310,"Alabama St.
   (A) 306 Alabama A&M",SWAC,28,9-19,"99.9
332","111.8
233",".2147
310","47.1
333","52.7
244","18.7
299","19.4
38","32.2
122","32.0
253","35.5
170","42.2
325","46.0
345","53.1
239","32.6
247","34.8
228","38.0
214","41.0
237","69.3
88","-13.7
302"
311,"Bellarmine
   (H) 136 Austin Peay",ASun,29,11-18,"114.0
96","127.9
365",".2109
311","59.0
6","59.5
365","15.6
98","15.2
277","22.1
354","34.4
322","34.4
205","34.4
156","60.7
7","58.8
357","37.8
21","40.1
364","41.4
142","52.1
364","64.1
335","-13.7
301"
312,"Cleveland St.
   (A) 159 Robert Morris",Horz,30,10-20,"110.9
141","124.5
364",".2101
312","54.2
63","57.1
359","18.0
260","15.0
292","27.5
283","37.0
356","39.2
77","35.9
205","52.0
166","59.4
361","37.5
26","36.2
303","51.8
7","45.3
337","69.5
73","-15.5
328"
313,"Houston Christian
   (H) 79 Stephen F. Austin",Slnd,29,11-18,"103.2
277","115.9
301",".2085
313","49.8
246","55.1
326","19.0
311","17.5
130","30.8
177","32.1
259","35.9
164","30.8
73","50.2
241","56.2
323","32.8
243","35.6
274","36.4
239","37.9
131","63.7
346","-13.3
295"
314,"Evansville
   (H) 146 Valparaiso",MVC,29,6-23,"101.0
315","113.4
262",".2078
314","49.1
283","55.7
336","19.4
325","16.2
211","22.2
351","30.5
176","29.4
321","31.0
78","50.4
235","54.6
294","31.6
300","38.0
353","43.1
103","43.5
304","67.0
209","-16.2
337"
315,"UMass Lowell
   (H) 227 UMBC",AE,29,13-16,"103.2
278","116.4
310",".1999
315","50.7
210","53.2
266","18.6
295","14.5
322","32.3
120","29.2
116","37.1
133","28.4
35","51.1
206","54.0
277","33.1
229","34.5
204","30.7
345","35.7
67","69.5
71","-11.9
269"
316,"Ball St.
   (A) 324 Northern Illinois",MAC,28,9-19,"98.1
341","110.8
212",".1984
316","45.7
353","53.5
278","16.6
159","18.8
68","27.4
286","32.4
275","32.2
254","31.2
82","45.7
348","53.8
269","30.4
334","35.4
258","39.9
172","42.3
275","63.6
347","-14.9
322"
317,"North Florida
   (H) 302 Jacksonville",ASun,30,7-23,"108.5
180","123.3
360",".1868
317","53.5
81","56.1
345","18.3
277","12.4
361","25.7
330","37.1
358","28.1
340","31.7
95","53.4
114","58.6
353","35.8
73","34.7
218","51.9
6","39.3
174","70.3
41","-17.1
349"
318,"Oral Roberts
   (A) 354 UMKC",Sum,30,8-22,"100.8
317","114.8
289",".1828
318","48.5
301","54.7
313","18.5
289","14.8
308","28.0
266","32.4
275","35.0
186","39.1
281","50.5
230","53.0
234","30.8
323","38.4
359","45.3
57","36.0
74","67.6
176","-17.0
347"
319,"Wagner
   (H) 342 Chicago St.",NEC,28,12-16,"102.9
284","117.8
326",".1749
319","49.7
251","51.3
177","18.7
299","15.3
271","33.0
96","30.1
156","32.7
245","41.9
323","46.6
333","50.5
120","36.8
39","35.2
250","36.1
247","36.8
92","65.5
285","-12.8
283"
320,"Prairie View A&M
   (H) 339 Alcorn St.",SWAC,29,12-17,"101.8
301","116.5
311",".1748
320","47.3
329","53.1
262","16.4
150","19.6
30","26.9
299","36.2
352","44.8
11","45.5
350","46.9
328","52.4
214","32.1
273","36.3
310","30.9
342","34.2
34","72.2
11","-12.9
285"
321,"Stetson
   (H) 249 Florida Gulf Coast",ASun,30,10-20,"104.4
257","119.5
342",".1744
321","52.4
134","55.7
336","18.3
277","15.1
281","26.7
303","32.7
286","33.4
230","30.3
63","51.9
171","58.2
349","35.3
99","34.7
218","44.5
75","41.1
241","67.1
204","-15.2
325"
322,"Albany
   (H) 345 New Hampshire",AE,29,10-19,"103.3
273","118.4
335",".1719
322","50.9
195","53.7
286","18.6
295","15.8
247","32.1
124","32.3
268","26.5
353","35.1
180","52.5
147","53.3
246","32.1
273","36.2
303","37.4
226","40.1
201","65.3
293","-15.5
331"
323,"Lafayette
   (H) 343 Army",Pat,30,10-20,"100.4
326","115.2
292",".1709
323","48.8
294","53.5
278","15.5
92","15.1
281","26.3
318","29.0
107","31.7
266","31.0
78","49.7
263","53.1
239","31.7
295","36.1
299","40.0
169","37.6
123","66.6
230","-16.2
338"
324,"Northern Illinois
   (H) 316 Ball St.",MAC,27,9-18,"97.1
348","111.8
230",".1647
324","48.4
304","54.4
304","22.1
361","16.6
185","32.0
126","30.0
152","37.5
121","39.1
281","48.8
289","56.6
336","31.9
285","33.7
158","45.1
62","36.4
86","67.4
186","-13.2
293"
325,"Cal St. Bakersfield
   (H) 256 Long Beach St.",BW,29,8-21,"101.4
309","117.1
317",".1612
325","45.1
359","53.5
278","19.2
319","17.9
107","31.0
164","35.5
344","41.8
43","44.2
344","45.9
347","53.1
239","28.7
355","36.1
299","28.8
357","39.1
169","69.8
65","-15.5
327"
326,"Norfolk St.
   (A) 363 Coppin St.",MEAC,28,14-14,"100.8
319","116.4
309",".1609
326","49.7
251","51.1
160","19.4
325","19.3
44","31.8
137","32.6
283","44.4
13","44.5
345","48.0
307","54.7
296","35.6
84","30.8
34","31.0
341","41.5
255","67.9
154","-10.6
246"
327,"Eastern Illinois
   (A) 266 SIU Edwardsville",OVC,30,12-18,"96.0
356","110.8
213",".1607
327","45.3
355","50.6
136","18.6
295","19.5
33","28.5
250","35.2
339","34.0
217","36.6
221","44.2
358","53.5
255","32.0
278","30.9
36","29.7
354","40.3
211","65.9
267","-13.5
299"
328,"Tennessee Tech
   (A) 251 Southeast Missouri St.",OVC,30,13-17,"101.1
313","116.9
315",".1587
328","48.9
292","51.2
171","19.4
325","15.4
263","31.8
137","31.0
197","34.7
195","30.9
76","50.1
245","49.9
102","31.3
310","35.7
280","36.6
237","36.3
84","67.0
205","-13.8
303"
329,"Little Rock
   (H) 338 Southern Indiana",OVC,30,11-19,"101.6
303","117.6
319",".1580
329","49.3
272","53.1
262","18.5
289","19.2
49","31.5
148","36.6
354","27.7
346","31.5
91","47.9
309","53.3
246","34.9
122","35.3
253","31.1
339","41.5
255","66.3
249","-15.5
329"
330,"Holy Cross
   (H) 332 Loyola MD",Pat,30,10-20,"101.5
306","117.8
324",".1536
330","50.1
229","54.9
319","15.4
83","14.3
329","21.6
359","27.5
51","30.9
290","28.0
29","50.5
230","58.0
347","33.0
232","33.4
145","37.7
224","39.5
181","65.5
286","-16.2
339"
331,"New Haven
   (H) 295 Le Moyne",NEC,30,13-17,"96.7
350","112.2
243",".1533
331","48.8
294","52.2
221","17.8
252","17.2
152","22.0
356","27.5
51","30.8
292","27.5
23","51.0
213","52.2
204","30.3
336","34.9
234","39.7
177","38.3
141","63.3
352","-13.0
289"
332,"Loyola MD
   (A) 330 Holy Cross",Pat,30,11-19,"102.8
288","119.8
345",".1478
332","50.3
222","54.6
311","16.0
127","15.3
271","27.5
283","28.9
101","30.4
305","32.1
103","51.7
183","58.3
352","32.5
252","32.8
109","47.6
28","40.0
195","68.4
130","-16.0
335"
333,"Jackson St.
   (A) 308 Texas Southern",SWAC,28,9-19,"101.7
302","118.5
336",".1465
333","46.4
341","53.1
262","19.7
336","15.4
263","28.0
266","37.5
361","34.9
192","41.8
322","45.5
349","54.3
286","31.8
292","34.2
192","43.0
111","40.5
217","69.9
57","-12.3
275"
334,"Bucknell
   (A) 294 Lehigh",Pat,30,9-21,"98.1
342","114.5
284",".1451
334","47.9
317","54.8
316","19.1
316","17.7
117","26.4
315","31.1
200","31.0
284","35.7
194","49.8
262","53.5
255","30.3
336","37.6
349","43.0
111","45.1
334","67.1
200","-16.6
344"
335,Manhattan,MAAC,30,12-18,"105.7
245","123.4
361",".1433
335","48.3
307","54.3
299","15.3
76","16.2
211","28.9
236","37.1
358","34.6
200","25.3
9","48.1
304","53.8
269","32.4
260","36.8
330","37.2
230","37.5
119","67.9
157","-14.2
309"
336,"Fairleigh Dickinson
   (A) 233 LIU",NEC,30,11-19,"101.4
310","118.5
337",".1421
336","47.1
333","54.8
316","17.6
238","16.1
222","31.9
133","27.9
67","33.0
237","36.6
221","48.3
302","53.8
269","30.5
333","37.5
346","45.3
57","40.7
224","64.1
336","-14.8
320"
337,Niagara,MAAC,29,8-21,"99.7
335","116.9
316",".1373
337","50.3
222","52.7
244","18.7
299","16.5
191","24.5
343","32.9
296","26.1
357","34.1
148","50.4
235","52.7
226","33.5
209","35.1
242","40.5
157","40.1
201","62.1
365","-17.4
351"
338,"Southern Indiana
   (A) 329 Little Rock",OVC,29,7-22,"96.2
354","113.3
259",".1328
338","44.1
362","48.7
59","17.5
230","16.6
185","30.9
170","34.0
318","37.2
128","36.6
221","43.2
362","48.5
58","30.2
341","32.9
115","40.2
165","26.7
1","67.7
171","-19.4
358"
339,"Alcorn St.
   (A) 320 Prairie View A&M",SWAC,27,7-20,"100.4
325","118.2
328",".1326
339","48.8
294","56.7
352","19.8
339","18.7
72","28.2
261","37.0
356","29.5
319","40.6
302","47.2
327","59.3
360","34.6
140","34.7
218","34.5
282","36.0
74","68.1
141","-14.0
307"
340,UTSA,Amer,28,5-23,"100.8
321","118.9
338",".1302
340","45.2
357","53.9
291","18.2
270","15.0
292","30.0
200","38.3
364","28.7
335","34.5
160","46.1
342","54.0
277","29.3
348","35.8
285","41.9
134","42.7
289","68.4
128","-17.0
348"
341,"North Alabama
   (A) 309 West Georgia",ASun,28,9-19,"100.9
316","119.1
340",".1295
341","48.3
307","55.4
333","17.4
222","14.4
325","31.7
140","32.0
253","38.0
103","31.6
93","49.2
279","56.3
327","31.1
314","36.2
303","33.9
298","44.3
324","64.9
311","-15.2
324"
342,"Chicago St.
   (A) 319 Wagner",NEC,30,7-23,"99.7
334","117.7
321",".1288
342","45.2
357","56.5
349","15.8
114","20.0
23","28.3
259","34.7
329","29.6
318","37.9
257","43.7
360","60.9
365","32.3
262","35.0
237","31.1
339","52.0
363","65.6
274","-17.2
350"
343,"Army
   (A) 323 Lafayette",Pat,30,11-19,"101.4
307","119.9
347",".1279
343","49.6
260","55.3
330","17.0
196","15.4
263","29.6
220","27.8
64","27.4
349","39.3
284","49.9
255","56.0
319","32.9
240","36.2
303","53.1
4","42.0
263","67.0
211","-15.5
330"
344,"Stonehill
   (H) 279 Mercyhurst",NEC,30,11-19,"92.3
362","109.1
178",".1271
344","47.1
333","48.6
56","20.0
345","13.5
349","28.4
255","27.2
43","26.3
355","30.3
63","46.6
333","47.6
42","31.9
285","33.8
166","40.1
166","32.4
14","66.1
256","-15.6
333"
345,"New Hampshire
   (A) 322 Albany",AE,27,8-19,"96.3
353","113.9
270",".1265
345","46.2
346","52.6
236","16.9
185","15.8
247","25.8
327","27.1
39","28.0
342","37.3
238","46.3
339","54.2
283","30.6
330","33.1
132","42.8
119","36.2
81","67.5
184","-14.6
317"
346,"Air Force
   (A) 103 Wyoming",MWC,28,3-25,"97.3
347","115.2
295",".1251
346","49.4
270","57.1
359","22.2
362","15.1
281","22.2
351","31.1
200","34.7
195","36.5
218","51.1
206","56.4
330","31.4
307","38.9
363","42.8
119","39.0
163","66.2
255","-17.6
352"
347,Canisius,MAAC,30,10-20,"95.8
357","114.2
278",".1165
347","46.4
341","52.7
244","19.9
341","16.2
211","29.6
220","29.7
140","31.6
268","34.6
165","43.8
359","54.9
301","33.7
191","33.2
135","39.4
181","44.4
326","64.1
338","-16.6
343"
348,"Maine
   (A) 359 Binghamton",AE,29,8-21,"93.5
360","112.0
238",".1114
348","49.6
260","50.5
126","19.2
319","19.5
33","20.1
364","35.2
339","37.9
109","34.5
160","51.6
191","54.1
281","30.8
323","29.6
11","37.3
229","36.9
96","64.8
315","-17.7
354"
349,Louisiana Monroe,SB,31,4-27,"101.1
314","122.0
354",".1030
349","47.8
319","57.0
357","17.2
209","15.9
238","25.3
339","35.7
346","38.0
103","27.4
21","47.5
322","59.0
359","32.2
268","36.2
303","41.7
139","42.6
284","70.4
37","-22.2
365"
350,"Saint Francis
   (A) 300 Central Connecticut",NEC,30,7-23,"101.3
311","123.1
358",".0957
350","49.0
286","59.0
364","18.4
285","18.4
88","27.4
286","33.2
305","30.8
292","38.9
277","47.3
324","60.3
364","34.6
140","38.2
356","38.1
212","41.3
249","70.1
47","-18.6
356"
351,"The Citadel
   (A) 250 Wofford",SC,30,9-21,"97.9
346","119.6
343",".0913
351","48.2
311","56.8
355","16.7
171","14.8
308","27.8
274","31.4
216","29.5
319","34.4
156","49.6
268","58.8
357","31.1
314","36.2
303","47.9
25","43.8
313","64.2
334","-17.6
353"
352,"North Carolina Central
   (A) 362 Delaware St.",MEAC,26,10-16,"100.3
327","122.5
357",".0911
352","46.9
337","55.8
340","18.4
285","18.9
62","29.3
227","38.1
363","38.7
87","38.0
262","46.5
337","56.2
323","31.8
292","36.9
333","33.3
308","42.3
275","66.2
250","-11.2
259"
353,"Morgan St.
   (H) 205 Howard",MEAC,26,12-14,"100.1
330","122.4
356",".0900
353","46.4
341","53.2
266","18.7
299","16.7
178","31.5
148","34.4
322","43.2
17","53.1
365","45.4
350","55.6
314","32.2
268","32.3
81","34.3
287","33.4
19","70.6
31","-11.2
255"
354,"UMKC
   (H) 318 Oral Roberts",Sum,29,4-25,"94.1
358","116.0
304",".0827
354","45.9
350","55.7
336","18.5
289","16.5
191","26.7
303","36.2
352","28.1
340","31.3
86","47.9
309","55.9
318","28.3
358","36.9
333","36.3
243","38.9
158","69.6
69","-19.7
359"
355,"Maryland Eastern Shore
   (H) 356 South Carolina St.",MEAC,28,8-20,"93.7
359","116.0
305",".0788
355","47.5
326","50.9
151","23.4
365","17.3
143","30.2
197","33.6
312","29.3
323","42.4
327","49.5
271","51.8
184","29.1
351","33.0
124","34.1
293","40.2
207","63.2
354","-14.7
319"
356,"South Carolina St.
   (A) 355 Maryland Eastern Shore",MEAC,27,7-20,"96.2
355","119.4
341",".0769
356","46.7
339","55.7
336","20.4
349","18.4
88","30.9
170","37.5
361","39.3
75","52.0
363","44.7
357","58.1
348","33.9
181","34.8
228","33.1
312","40.0
195","68.6
115","-15.6
332"
357,Rider,MAAC,28,4-24,"96.8
349","121.0
351",".0711
357","42.7
364","55.3
330","17.0
196","15.4
263","33.1
92","33.2
305","30.7
294","32.0
101","43.1
363","54.3
286","27.7
363","37.8
350","27.1
361","40.4
214","65.6
277","-18.9
357"
358,"Bryant
   (H) 303 NJIT",AE,28,8-20,"96.5
352","120.8
350",".0703
358","46.1
348","52.9
252","20.4
349","15.0
292","28.5
250","31.8
240","28.9
332","33.4
134","48.1
304","51.5
170","29.3
348","36.9
333","48.3
22","35.8
69","64.5
326","-16.1
336"
359,"Binghamton
   (H) 348 Maine",AE,30,7-23,"98.1
343","123.2
359",".0678
359","49.5
265","54.3
299","18.9
307","13.2
353","21.1
363","30.0
152","41.9
40","34.5
160","50.2
241","55.0
304","32.0
278","35.5
264","30.5
349","39.2
171","65.4
288","-20.5
361"
360,"VMI
   (A) 301 Chattanooga",SC,30,6-24,"98.8
339","124.1
362",".0674
360","47.3
329","57.0
357","15.7
107","16.2
211","25.5
335","37.3
360","30.6
301","36.4
217","47.6
317","58.7
355","31.3
310","36.7
325","53.4
2","47.1
353","66.9
214","-20.3
360"
361,"Gardner Webb
   (A) 297 USC Upstate",BSth,30,3-27,"96.5
351","124.2
363",".0524
361","48.1
314","57.7
361","19.9
341","15.0
292","22.8
349","36.9
355","30.7
294","36.3
211","49.0
284","59.5
362","31.3
310","36.7
325","40.0
169","41.1
241","70.0
51","-21.5
362"
362,"Delaware St.
   (H) 352 North Carolina Central",MEAC,26,6-20,"88.6
365","115.2
294",".0465
362","42.3
365","54.7
313","19.6
333","20.1
21","25.6
333","31.9
247","35.0
186","40.5
299","42.0
365","56.6
336","28.7
355","34.2
192","29.0
355","35.8
69","66.6
228","-16.9
346"
363,"Coppin St.
   (H) 326 Norfolk St.",MEAC,28,7-21,"92.0
363","120.1
348",".0445
363","45.8
351","55.6
335","22.7
364","17.6
125","29.9
205","34.7
329","38.6
91","43.6
336","45.4
350","54.1
281","31.0
317","38.4
359","35.7
258","43.5
304","68.8
106","-16.5
342"
364,"Western Illinois
   (H) 276 Lindenwood",OVC,30,5-25,"93.1
361","122.2
355",".0417
364","44.3
361","54.0
294","17.5
230","15.1
281","27.1
294","34.6
325","37.7
115","35.5
192","43.4
361","54.5
291","30.8
323","35.4
258","32.8
317","35.0
48","66.5
234","-22.1
363"
365,"Mississippi Valley St.
   (A) 289 Arkansas Pine Bluff",SWAC,29,2-27,"90.0
364","121.1
352",".0321
365","44.6
360","56.5
349","21.6
358","17.2
152","25.8
327","35.7
346","32.8
243","49.1
362","45.2
352","56.6
336","28.8
354","37.5
346","30.2
351","43.1
292","67.5
180","-22.2
364"