Round,Dates,City,Venue,
First Four,March 17 & 18,"Dayton, OH",UD Arena,
First/Second,March 19 & 21,"Buffalo, NY",KeyBank Center,
First/Second,March 19 & 21,"Greenville, SC",Bon Secours Wellness Arena,
First/Second,March 19 & 21,"Oklahoma City, OK",Paycom Center,
First/Second,March 19 & 21,"Portland, OR",Moda Center,
First/Second,March 20 & 22,"Tampa, FL",Benchmark International Arena,
First/Second,March 20 & 22,"Philadelphia, PA",Xfinity Mobile Arena,
First/Second,March 20 & 22,"San Diego, CA",Viejas Arena,
First/Second,March 20 & 22,"St. Louis, MO",Enterprise Center,
South Regional,March 26 & 28,"Houston, TX",Toyota Center,
West Regional,March 26 & 28,"San Jose, CA",SAP Center,
Midwest Regional,March 27 & 29,"Chicago, IL",United Center,
East Regional,March 27 & 29,"Washington, D.C.",Capital One Arena,
Final Four,April 4 & 6,Indianapolis,Lucas Oil Stadium,